ID,Vulnerability description,Location,Module,Type,Threat,Time
247,XX enterprises exist in Shiro derivativeization,Outside-vehicle,Cloud platform,Deserialization,Medium,2023/12/14
248,XX enterprises can call the interface arbitrarily to upload any file,Outside-vehicle,Cloud platform,File upload,Medium,2023/12/14
249,XX enterprise OA system information leakage,Outside-vehicle,Cloud platform,Information leakage,Low,2023/12/14
250,XX enterprise Lanling OA system information leakage,Outside-vehicle,Cloud platform,Information leakage,Low,2023/12/14
251,XX companies exist in Lan Ling OA information leakage vulnerabilities,Outside-vehicle,Cloud platform,Information leakage,Low,2023/12/14
252,XX enterprises exist in CAN communications without authentication vulnerabilities,Network,Network,File upload,Medium,2023/12/14
253,XX companies exist in keyboard incidents that are not authorized to restart the loopholes of the vehicle,In-vehicle,IVI,Unauthorized accessing,Low,2023/12/14
254,XX enterprise Lan Ling OA system has information leakage vulnerabilities,Outside-vehicle,Cloud platform,Information leakage,Low,2023/12/14
255,XX enterprise OA System Lan Ling OA information leakage,Outside-vehicle,Cloud platform,Information leakage,Low,2023/12/13
256,XX enterprise OA System Lan Ling Information Leaks Vulnerability,Outside-vehicle,Cloud platform,Information leakage,Medium,2023/12/13
257,XX enterprise Lanling OA system has a sensitive information leakage vulnerability,Outside-vehicle,Cloud platform,Information leakage,Low,2023/12/13
258,XX enterprise Lanling OA system has a sensitive information leakage vulnerability,Outside-vehicle,Cloud platform,Information leakage,Low,2023/12/13
259,XX enterprise models exist in cloud listening QR code hijacking vulnerabilities,In-vehicle,IVI,Man-in-the-middle,Low,2023/12/11
260,XX enterprise model exists in engineering models to enter vulnerabilities,In-vehicle,IVI,Unauthorized accessing,Low,2023/12/11
261,XX enterprise models exist in application installation and hijacking vulnerabilities,In-vehicle,IVI,Man-in-the-middle,Low,2023/12/11
262,XX enterprise automotive USB_OTA function existence path through loopholes,In-vehicle,IVI,Arbitrary software installation,Low,2023/12/11
263,XX enterprise automobile has refusal service attack vulnerabilities,In-vehicle,IVI,DoS,Low,2023/12/11
264,XX enterprise automotive CANFD bus has unauthorized access to,Network,Network,Unauthorized accessing,High,2023/12/11
265,XX enterprise automobile Application Store Cool Dog Music has a vassal hijacking vulnerability,In-vehicle,IVI,Man-in-the-middle,Low,2023/12/11
266,XX enterprise automobile exists in BLE relay attack vulnerabilities,In-vehicle,Radio,Relay,Medium,2023/12/11
267,XX enterprise automobile Existing GPS radio interference vulnerabilities,In-vehicle,Radio,GPS spoofing,Low,2023/12/22
268,XX enterprise automobile has the existence of Alibaba Cloud OSS storage key to leak loopholes,Outside-vehicle,Cloud platform,Unauthorized accessing,Medium,2023/12/11
269,XX enterprise automobile's Artificial Intelligence Unit ROOT users empty passwords,In-vehicle,ECU,Weak password,Medium,2023/12/11
270,XX enterprise automobile Application Store Download Hug,In-vehicle,IVI,Man-in-the-middle,Medium,2023/12/11
271,XX enterprise automobile models exist in the back -driving aircraft Bluetooth reject service vulnerability,In-vehicle,IVI,DoS,Low,2023/12/11
272,XX enterprise automobile Bluetooth Key has a refusal service attack,In-vehicle,ECU,DoS,Medium,2023/12/11
273,XX enterprise automobile has a key to refuse service vulnerabilities,In-vehicle,Radio,DoS,Medium,2023/11/29
274,XX enterprise car existence engineering model can enter the loopholes,In-vehicle,IVI,Arbitrary software installation,Low,2023/11/29
275,XX enterprise automobile Existing Cloud Listening QR code Hide Vulnerability,In-vehicle,IVI,Man-in-the-middle,Low,2023/11/29
276,XX enterprise automobile Existing Information and Entertainment System has not authorized to send UDS protocol packets,Network,Network,Unauthorized accessing,High,2023/11/29
277,XX enterprise automobile Existing vehicle ADAS function refuses to serve the attack vulnerability,In-vehicle,ECU,DoS,Medium,2023/11/29
278,XX enterprise automobile Existing Android vehicle Operating System kernel Binder vulnerabilities,In-vehicle,IVI,Kernel,Low,2023/11/29
279,XX enterprise automobile has an unsafe TLS protocol configuration vulnerability,In-vehicle,IVI,Man-in-the-middle,Medium,2023/11/29
280,XX enterprise automobile has a safe start of private key leakage vulnerabilities,In-vehicle,ECU,Information leakage,Low,2023/11/29
281,XX enterprise automobile Existing GPS radio interference vulnerabilities,In-vehicle,Radio,GPS spoofing,Low,2023/11/29
282,XX enterprise automobile Existing IQIYI vehicle Version Underworld Uploaded vehicle Privacy Data Vulnerability,In-vehicle,IVI,Information leakage,Low,2023/11/29
283,XX enterprise automobile has the TFTP service vulnerability that is not accessed by ADAS,In-vehicle,ECU,Arbitrary software installation,Medium,2023/11/22
284,"The WiFi of the XX enterprise IVI has no specific model of products, there is a refusal service vulnerability",In-vehicle,IVI,DoS,Low,2023/10/31
285,The product of XX enterprise IVIDNSMASQ has SQL injection vulnerabilities,In-vehicle,IVI,SQL injection,Medium,2023/10/31
286,XX enterprise automobile CVE-20123-4863 Packing cache overflow vulnerability,In-vehicle,IVI,Buffer overflow,Low,2023/10/31
287,XX enterprise automobile vehicle File Read it arbitrarily,In-vehicle,IVI,Unauthorized accessing,High,2023/10/31
288,The XX enterprise Security Management Platform has sensitive information leakage vulnerabilities,Outside-vehicle,Cloud platform,Information leakage,Low,2023/10/30
289,XX enterprise Login Authentication bypassed the vulnerability,Outside-vehicle,Cloud platform,Unauthorized accessing,Medium,2023/10/30
290,XX enterprise Cloud Platform System MobileAction,Outside-vehicle,Cloud platform,Unauthorized accessing,Medium,2023/10/26
291,XX enterprise car engineering model exposure,In-vehicle,IVI,Arbitrary software installation,Medium,2023/10/26
292,XX enterprise car information acquisition interface more power loopholes,Outside-vehicle,APP,Command injection,Medium,2023/10/26
293,XX enterprise automobile Existing IIS_PUT file Upload vulnerabilities,Outside-vehicle,Cloud platform,File upload,Medium,2023/10/25
294,XX enterprise automobile code lacks user access and interception,Outside-vehicle,Cloud platform,Unauthorized accessing,High,2023/10/17
295,XX enterprise automobile IVI has insufficient debug permissions and causes the back door vulnerabilities,In-vehicle,IVI,Unauthorized accessing,Medium,2023/10/17
296,XX enterprise automobile_ivi_U disk installs third -party software vulnerabilities,In-vehicle,IVI,Arbitrary software installation,Medium,2023/9/22
297,XX enterprise automobile_IVI_Pone Ritting Vulnerability,In-vehicle,IVI,Unauthorized accessing,Medium,2023/9/22
298,XX enterprise automobile,Outside-vehicle,APP,Command injection,Medium,2023/9/22
299,XX enterprise automobile_Tbox_tbox Cover Shell Live Vulnerability,In-vehicle,T-Box,Unauthorized accessing,Medium,2023/9/22
300,XX enterprise automobile_MQTT hard coding vulnerability,Outside-vehicle,APP,Information leakage,High,2023/9/22
301,"XX enterprise automobile_VI_ After the factory settings are restored, WIFI defaults to open ADB vulnerabilities",In-vehicle,IVI,Unauthorized accessing,Low,2023/9/22
302,XX enterprise automobile_ Radio_Ti -Wireless Rolling Code Synchronous Vulnerability,In-vehicle,IVI,Unauthorized accessing,Medium,2023/9/22
303,XX enterprise automobile_ivi_The Application of WEBVIEW Any File Reading Vulnerability,In-vehicle,IVI,Unauthorized accessing,Low,2023/9/22
304,XX enterprise automobile_App_The user login,Outside-vehicle,APP,Command injection,Medium,2023/9/22
305,XX enterprise automobile_Tbox_ADB default any file Upload download vulnerability,In-vehicle,IVI,Unauthorized accessing,Medium,2023/9/22
306,XX enterprise automobile OA System is not authorized SQL injection vulnerability,Outside-vehicle,Cloud platform,SQL injection,Low,2023/9/15
307,XX enterprise automobile Unauthorized SQL Inject Vulnerability,Outside-vehicle,Cloud platform,SQL injection,Medium,2023/9/15
308,XX enterprise automobile OA System is not authorized SQL injection vulnerability,Outside-vehicle,Cloud platform,SQL injection,Low,2023/9/15
309,XX enterprise T-BOX products have permissions permits and access control,In-vehicle,T-Box,Unauthorized accessing,Critical,2023/9/13
310,XX enterprise Reading Vulnerability Reading,Outside-vehicle,Cloud platform,File accessing,Low,2023/9/12
311,XX enterprise Reading Vulnerability Reading,Outside-vehicle,Cloud platform,File accessing,Low,2023/9/12
312,XX enterprise Reading Vulnerability Reading,Outside-vehicle,Cloud platform,File accessing,Low,2023/9/12
313,XX enterprise OA any file download,Outside-vehicle,Cloud platform,File download,Low,2023/9/12
314,XX enterprise OA any file download,Outside-vehicle,Cloud platform,File download,Low,2023/9/12
315,XX enterprise Reading Vulnerability Reading,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/9/11
316,XX enterprise OA system does not authorize commands to execute,Outside-vehicle,Cloud platform,Command injection,Medium,2023/9/6
317,XX enterprise OA system does not authorize commands to execute,Outside-vehicle,Cloud platform,Command injection,Low,2023/9/6
318,XX enterprise OA system does not authorize commands to execute,Outside-vehicle,Cloud platform,Command injection,Low,2023/9/6
319,XX enterprise car crash vulnerability,In-vehicle,IVI,Buffer overflow,Low,2023/8/29
320,XX enterprise CRM system SQL injection vulnerability,Outside-vehicle,Cloud platform,SQL injection,Low,2023/8/28
321,XX enterprise CRM system SQL injection vulnerability,Outside-vehicle,Cloud platform,SQL injection,Low,2023/8/28
322,XX enterprise Reading Vulnerability Reading,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/8/28
323,XX enterprise OA any file download,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/8/25
324,XX enterprise OA any file download,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/8/25
325,XX enterprise APP exists in user information leakage vulnerabilities,Outside-vehicle,APP,Information leakage,High,2023/8/25
326,XX enterprise File Management System does not authorize commands to execute,Outside-vehicle,Cloud platform,Command injection,Medium,2023/8/23
327,XX enterprise Platform logical vulnerability,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/8/22
328,XX enterprise automotive Safety Access and Using Non -Safety Algorithm,In-vehicle,ECU,Information leakage,Low,2023/8/14
329,XX enterprise automotive Bluetooth Key Power Power with Fuzzing,In-vehicle,ECU,DoS,Low,2023/8/14
330,XX enterprise automotive Bluetooth Agreement Dowager Metal Bluetooth Key Realization Car Control,In-vehicle,ECU,Relay,Low,2023/8/14
331,XX enterprise automobile SRM System login bypass,In-vehicle,ECU,Command injection,Low,2023/8/11
332,XX enterprise automotive Supplier Relations Management Platform has not been authorized to visit,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/8/11
333,XX enterprise automobile Fastjson Capital Vulnerability,Outside-vehicle,Cloud platform,Deserialization,Low,2023/8/11
334,XX enterprise automobile Cloud Platform login bypassing,Outside-vehicle,Cloud platform,Command injection,Low,2023/8/11
335,XX corporate car platform login and bypass,Outside-vehicle,Cloud platform,Command injection,Medium,2023/8/11
336,XX enterprise automobile SRM System login bypass,Outside-vehicle,Cloud platform,Command injection,Low,2023/8/11
337,XX enterprise automobile System Login By bypass,Outside-vehicle,Cloud platform,Command injection,Medium,2023/8/11
338,XX enterprise automotive Bluetooth has known CVE vulnerabilities,In-vehicle,ECU,Arbitrary software installation,Low,2023/8/10
339,XX enterprise automotive Bus Available CAN signal,Network,Network,replay,Low,2023/8/8
340,XX enterprise automobile WiFi can be DDOS,Network,Network,DoS,Low,2023/8/8
341,XX enterprise automobile Remote Control instructions can be replaced and tampered with,Outside-vehicle,APP,replay,High,2023/8/8
342,XX enterprise automobile Control instructions Uncayed transmission,Outside-vehicle,APP,Information leakage,Low,2023/8/8
343,XX enterprise automobile Web website unauthorized access,Outside-vehicle,Cloud platform,Command injection,Medium,2023/8/1
344,XX enterprise automobile Web website unauthorized access,Outside-vehicle,APP,Command injection,Low,2023/8/1
345,There are vulnerabilities in the built -in navigation of the XX enterprise automobile intelligent guide interconnection system,Network,Network,Weak password,Low,2023/7/27
346,XX enterprise automobile has Druid default weak passage vulnerabilities,Outside-vehicle,Cloud platform,Weak password,Low,2023/7/25
347,XX enterprise Auto NACOS,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/7/14
348,XX enterprise automobile NACOS does not authorize to add users to leak a lot of sensitive information,Outside-vehicle,Cloud platform,Information leakage,Low,2023/7/14
349,The XX enterprise platform exists in information leakage vulnerabilities,Outside-vehicle,Cloud platform,Information leakage,Medium,2023/7/14
350,XX enterprise automobile TBOX can be adb pull to get any file,In-vehicle,T-Box,Unauthorized accessing,Low,2023/7/14
351,XX enterprise automobile IVI defaults to open WIFI ADB and is root permissions,In-vehicle,IVI,Unauthorized accessing,Medium,2023/7/14
352,XX enterprise automobile any user login,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/7/14
353,XX enterprise automobile any user login,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/7/14
354,XX enterprise automobile any file download,Outside-vehicle,Cloud platform,File download,Low,2023/7/14
355,XX enterprise automobile IVI exists in the loopholes of weak passwords in engineering models,In-vehicle,IVI,Weak password,High,2023/7/4
356,XX enterprise automotive IVI has a loophole in ADB password hard -coded,In-vehicle,IVI,Information leakage,High,2023/7/4
357,There are vulnerabilities CVE -2021-0653,In-vehicle,IVI,Arbitrary software installation,Medium,2023/7/4
358,XX companies have weak passwords,Outside-vehicle,Cloud platform,Weak password,Low,2023/6/30
359,XX enterprise automobile has SQL injection vulnerabilities,Outside-vehicle,Cloud platform,SQL injection,Low,2023/6/30
360,XX enterprise automobile has pan -micro XXE vulnerabilities,Outside-vehicle,Cloud platform,XEE,Low,2023/6/30
361,XX enterprise automobile has a long -range control vehicle vulnerability,In-vehicle,IVI,Unauthorized accessing,Low,2023/6/30
362,XX enterprise automobile Existing NFC Reez -Control Cars,In-vehicle,ECU,Relay,Medium,2023/6/30
363,XX enterprise automobile File Upload Vulnerability,Outside-vehicle,Cloud platform,File upload,Medium,2023/6/28
364,XX enterprise Auto SQL Inject Vulnerability,Outside-vehicle,Cloud platform,SQL injection,High,2023/6/28
365,XX enterprise automobile Energy IoT Cloud Platform,Outside-vehicle,Cloud platform,Command injection,Low,2023/6/28
366,XX enterprise automobile has a login and bypass vulnerability,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/6/28
367,XX enterprise automobile has a login and bypass-JS hard coding,Outside-vehicle,Cloud platform,Information leakage,Medium,2023/6/28
368,XX enterprise automobile has FTP weak passwords,Outside-vehicle,Cloud platform,Weak password,Low,2023/6/28
369,XX enterprise automobile Existing Telnet hard coding,Outside-vehicle,Cloud platform,Information leakage,Medium,2023/6/28
370,XX enterprise automobile Existence SSH login vouchers hard coding,Outside-vehicle,Cloud platform,Information leakage,Medium,2023/6/28
371,The XX enterprise registration permissions management system exists if the password vulnerability,Outside-vehicle,Cloud platform,Weak password,Low,2023/6/28
372,There are a large number of interfaces of XX enterprise cars unauthorized access,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/6/28
373,XX enterprise automobile Existence information leakage,Outside-vehicle,Cloud platform,Information leakage,Medium,2023/6/28
374,XX corporate website has any file reading,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/6/27
375,XX enterprise automotive Motor WIFI Password Pure Meeting Vulnerability,Network,Network,Information leakage,Low,2023/6/26
376,XX enterprise automobile APP sensitive information leakage,Outside-vehicle,APP,Command injection,Low,2023/6/26
377,XX enterprise automobile has WiFi lifting certification attack,In-vehicle,IVI,DoS,Low,2023/6/26
378,XX corporate vehicle has a loophole in LINUX local rights,In-vehicle,IVI,Privilege escalation,Medium,2023/6/26
379,XX enterprise automotive APP Mingshin Transmission Data,Outside-vehicle,APP,Information leakage,Low,2023/6/26
380,XX enterprise platform exists in SQL injection,Outside-vehicle,Cloud platform,SQL injection,Low,2023/6/26
381,XX enterprise platform exists in interface file upload vulnerabilities,Outside-vehicle,Cloud platform,File upload,Medium,2023/6/26
382,There are unauthorized access vulnerabilities in XX enterprise mini -programs,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/6/26
383,"The existence of kernel vulnerabilities in the XX enterprise car, causing system crash vulnerabilities",In-vehicle,IVI,DoS,Low,2023/6/26
384,XX enterprise platform exists in Jeecgsql injection,Outside-vehicle,Cloud platform,SQL injection,Low,2023/6/26
385,There is an unauthorized access loophole in the XX enterprise FE open platform,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/6/26
386,XX enterprise platform exists in Jeecgsql injection,Outside-vehicle,Cloud platform,SQL injection,Low,2023/6/26
387,XX enterprises have not authorized ADB to open vulnerabilities,In-vehicle,IVI,Unauthorized accessing,Low,2023/6/26
388,"The XX enterprise vehicle Network Comprehensive Management Platform has a weak passage of loopholes,",Outside-vehicle,Cloud platform,Weak password,Medium,2023/6/26
389,There is a weak password for the real -name registration system of the XX enterprise car networking card,Outside-vehicle,Cloud platform,Weak password,Low,2023/6/26
390,There are weak passwords in the XX enterprise login system,Outside-vehicle,Cloud platform,Weak password,Low,2023/6/26
391,There is a weak passage of the XX enterprise car rental background login system,Outside-vehicle,Cloud platform,Weak password,Medium,2023/6/26
392,XX enterprise 5G vehicle Networking vehicle Data Platforms SQL injection,Outside-vehicle,Cloud platform,SQL injection,Low,2023/6/26
393,XX enterprises actively monitor the cloud platform with weak passage vulnerabilities,Outside-vehicle,Cloud platform,Weak password,Medium,2023/6/25
394,XX enterprise automotive APP Unauthorized Download,Outside-vehicle,APP,Command injection,Low,2023/6/25
395,XX enterprise automobile APP middleman attack,Outside-vehicle,APP,Man-in-the-middle,Medium,2023/6/25
396,XX enterprise automobile APP Reinstall Vulnerability,Outside-vehicle,APP,replay,Low,2023/6/25
397,XX enterprise user experience management platform violent blasting vulnerability,Outside-vehicle,Cloud platform,Weak password,Low,2023/6/25
398,XX enterprise automobile Webpack source code leak,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/6/25
399,XX enterprise automobile Logistics-Sensitive Information Disease,Outside-vehicle,Cloud platform,Information leakage,Low,2023/6/25
400,XX enterprise automobile APK Login Interface Exist SQL injection vulnerability,Outside-vehicle,APP,SQL injection,Low,2023/6/25
401,XX enterprise Mini Program-Logic concurrent vulnerability,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/6/25
402,XX enterprise automotive Search Recommendation Platform-Unauthorized access loopholes,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/6/25
403,XX enterprise SPBOOT leaks a lot of interface information,Outside-vehicle,Cloud platform,Information leakage,Low,2023/6/25
404,XX enterprise sensitive information leaks Alibaba Cloud AK connection key,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/6/25
405,XX enterprise violent blasting vulnerability,Outside-vehicle,Cloud platform,Weak password,Low,2023/6/25
406,XX enterprise entry assistant exists in Fastjson counter,Outside-vehicle,Cloud platform,Deserialization,Low,2023/6/25
407,XX enterprise vehicle Network Information Service Platform Shiro command execute,Outside-vehicle,Cloud platform,Deserialization,Medium,2023/6/21
408,There is a weak password for XX enterprise vehicle Networking Intelligent Monitoring Platform,Outside-vehicle,Cloud platform,Weak password,Medium,2023/6/21
409,The XX enterprise charging pile APK login interface exists in SQL injection vulnerabilities,Outside-vehicle,Charging pile,SQL injection,Low,2023/6/21
410,XX enterprise Charging Pile APK Member Interface exists in SQL injection vulnerabilities,Outside-vehicle,Charging pile,SQL injection,Medium,2023/6/21
411,XX enterprise jump information somewhere leakage,Outside-vehicle,Cloud platform,Information leakage,Low,2023/6/21
412,XX enterprise charging pile background management system has data leakage vulnerabilities,Outside-vehicle,Charging pile,Information leakage,Low,2023/6/21
413,XX enterprise GPS positioning system has data leakage vulnerabilities,Outside-vehicle,Cloud platform,Information leakage,Low,2023/6/21
414,XX enterprises obtain ordinary shell permissions vulnerabilities,In-vehicle,IVI,Unauthorized accessing,Low,2023/6/19
415,XX enterprises obtain diagnostic information vulnerabilities,In-vehicle,IVI,Information leakage,Low,2023/6/19
416,XX enterprise remotely leaks GPS positioning information,In-vehicle,ECU,GPS spoofing,Low,2023/6/19
417,XX enterprises exist to allow the installation of unauthorized software vulnerabilities,In-vehicle,IVI,Arbitrary software installation,Low,2023/6/19
418,There is a cache overflowing and cross -border reading and writing potential risks in the XX enterprise automotive car system,In-vehicle,IVI,Buffer overflow,Medium,2023/6/19
419,There is a risk of caching overflow on the XX enterprise car aircraft,In-vehicle,IVI,Integer overflow,Medium,2023/6/19
420,"The existence of the XX enterprise automobile aircraft is due to the overflow of the integer, which is caused by the overflow of the release of potential risks",In-vehicle,IVI,Integer overflow,Medium,2023/6/19
421,The risk,In-vehicle,ECU,Integer overflow,Medium,2023/6/19
422,XX companies exist in user information leakage vulnerabilities,Outside-vehicle,APP,Information leakage,Low,2023/6/16
423,XX enterprise automotive vehicle has a hard -coded WiFi password vulnerability,In-vehicle,IVI,Information leakage,Low,2023/6/16
424,XX enterprise automotive vehicle has an application store hijacking vulnerability,In-vehicle,IVI,Man-in-the-middle,Medium,2023/6/16
425,XX enterprise automotive vehicle Machine Permanent Power Enhancement Vulnerability,In-vehicle,IVI,Privilege escalation,Medium,2023/6/16
426,XX enterprise automotive Mot has command injection vulnerabilities,In-vehicle,IVI,Command injection,Medium,2023/6/16
427,XX corporate platform is unauthorized access vulnerability,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/6/15
428,XX enterprises do not authorize access vulnerabilities,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/6/15
429,XX enterprise automobile T-BOX has MQTT unauthorized access vulnerabilities,In-vehicle,T-Box,Unauthorized accessing,High,2023/6/15
430,XX enterprise automobile APK Login Interface Existing token refresh vulnerabilities,Outside-vehicle,APP,Identity spoofing,Low,2023/6/12
431,XX enterprise charging pile APK exists in vehicle binding information leakage vulnerabilities,Outside-vehicle,Charging pile,Information leakage,Low,2023/6/12
432,XX enterprise TSP Cloud Platform has unauthorized access loopholes,Outside-vehicle,Cloud platform,Unauthorized accessing,Medium,2023/6/11
433,XX enterprise Charging Pile APK has user information traversal vulnerabilities,Outside-vehicle,Charging pile,Information leakage,Low,2023/6/8
434,XX enterprise APP has a modification of any user password vulnerability,Outside-vehicle,APP,Unauthorized accessing,High,2023/6/8
435,XX enterprise APP has any user remote control any car vulnerability,Outside-vehicle,APP,Unauthorized accessing,High,2023/6/8
436,XX enterprise automobile automobile Gateway Wi-Fi parameter settings improperly,In-vehicle,ECU,Information leakage,Low,2023/6/5
437,XX enterprise automobile automobile Gateway RS232 Discovery Start Information,In-vehicle,ECU,Information leakage,Low,2023/6/5
438,XX enterprise automobile automobile Gate rebound Shell,In-vehicle,ECU,Arbitrary software installation,Low,2023/6/5
439,XX enterprise automobile has a pile of loopholes,In-vehicle,ECU,Buffer overflow,Medium,2023/6/5
440,XX enterprise automobile Existence of Cushion Spray Vulnerability,In-vehicle,ECU,Buffer overflow,Medium,2023/6/5
441,XX enterprise automobile has empty pointer access vulnerabilities,In-vehicle,ECU,Buffer overflow,Medium,2023/6/5
442,XX enterprise automobile automobile Gateway logs are not encrypted storage,In-vehicle,ECU,Information leakage,Low,2023/6/5
443,XX enterprise automobile automobile Gategory Automatically restarts,Network,Network,DoS,Medium,2023/6/5
444,XX enterprise Auto Auto Network Pass malleure program execution,In-vehicle,ECU,Arbitrary software installation,Low,2023/6/5
445,XX enterprise automobile automobile Gate File Upload Download,In-vehicle,ECU,File download,Low,2023/6/5
446,XX enterprise automobile automobile Gateway Telnet Root permissions,In-vehicle,ECU,Privilege escalation,Medium,2023/6/5
447,XX enterprise automobile automobile Gateway Open Non -necessary Port,In-vehicle,ECU,Unauthorized accessing,Low,2023/6/5
448,XX enterprise automobile Steering Lights Most,Network,Network,DoS,Medium,2023/6/5
449,XX enterprise car keyless vehicle startup,Network,Network,Relay,Medium,2023/6/5
450,XX enterprise automobile firmware extraction,In-vehicle,IVI,Information leakage,Medium,2023/6/5
451,XX enterprise automobile Hidden Mode Passage Blasting,In-vehicle,IVI,Weak password,Medium,2023/6/5
452,XX enterprise automobile USB Locomotive Control,In-vehicle,IVI,USB,Low,2023/6/5
453,XX enterprise automobile ECU Restart,Network,Network,DoS,Medium,2023/6/5
454,XX corporate car shifting device is prohibited from raising,Network,Network,DoS,Medium,2023/6/5
455,XX enterprise automobile USB Unblied External,In-vehicle,IVI,USB,Low,2023/6/5
456,XX enterprise automobile Intermediate People Attack Vulnerability,In-vehicle,Radio,replay,Medium,2023/6/5
457,XX enterprise automotive Deatsment Discharge Vulnerability,In-vehicle,Radio,replay,Low,2023/6/5
458,There are data leakage vulnerabilities in the XX enterprise automobile management system,Outside-vehicle,Cloud platform,Information leakage,Low,2023/6/1
459,XX enterprise Commercial vehicle Risk Control System has data leakage vulnerabilities,Outside-vehicle,Cloud platform,Information leakage,Medium,2023/5/31
460,XX enterprise Intelligent Charging Management System has data leakage vulnerabilities,Outside-vehicle,Charging pile,Information leakage,Low,2023/5/30
461,The XX enterprise charging pile management system exists in data leakage vulnerabilities,Outside-vehicle,Charging pile,Information leakage,Low,2023/5/30
462,There are unauthorized access vulnerabilities on the product of the XX enterprise cloud platform,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/5/29
463,There are data leakage vulnerabilities in the charging system of XX enterprises,Outside-vehicle,Charging pile,Information leakage,Low,2023/5/29
464,XX enterprise charging pile system has data leakage vulnerabilities,Outside-vehicle,Charging pile,Information leakage,Low,2023/5/29
465,XX enterprise charging pile system has data leakage vulnerabilities,Outside-vehicle,Charging pile,Information leakage,Low,2023/5/29
466,XX enterprise automobile Existence of Cushion Spray Vulnerability,In-vehicle,ECU,Buffer overflow,Medium,2023/6/5
467,XX enterprise automobile Existence of Cushion Spray Vulnerability,In-vehicle,ECU,Buffer overflow,Medium,2023/6/5
468,XX enterprise Swagger unauthorized access vulnerability,Outside-vehicle,Cloud platform,Unauthorized accessing,Medium,2023/5/19
469,XX companies exist in SQL injection vulnerabilities,Outside-vehicle,Cloud platform,SQL injection,High,2023/5/10
470,XX enterprise Products have a buffer error loophole,In-vehicle,IVI,Buffer overflow,Low,2023/5/8
471,XX enterprise automotive IVI system exists in ROOT permissions vulnerabilities,In-vehicle,IVI,Privilege escalation,High,2023/5/8
472,XX enterprise automotive automobile Intelligent Multimedia Most Hosting Products have insufficient encryption vulnerabilities,In-vehicle,IVI,Information leakage,Low,2023/4/27
473,XX enterprise APP Online Customer Service Module WEB directory limits can bypass vulnerabilities,Outside-vehicle,APP,Unauthorized accessing,High,2023/4/27
474,There are unauthorized access vulnerabilities on multiple automobile networking platforms for XX companies,Outside-vehicle,Cloud platform,Unauthorized accessing,High,2023/4/17
475,XX enterprise automotive Controller has the risk of downgrading by the software version,In-vehicle,ECU,Upgrade forgery,High,2023/3/23
476,XX enterprise automobile Cloud Platform Large Sensitive Information Discovery,Outside-vehicle,Cloud platform,Information leakage,Medium,2023/3/15
477,XX enterprise automotive Unauthorized command to execute vulnerabilities,In-vehicle,ECU,Command injection,Medium,2023/3/15
478,XX vehicle car charging port has wireless vulnerabilities,In-vehicle,Radio,DoS,Medium,2023/3/15
479,XX vehicle vehicle machine MQTT platform has certification by bypass vulnerabilities,Outside-vehicle,Cloud platform,Unauthorized accessing,Medium,2023/3/14
480,XX vehicle automobile MQTT Platform has certification by bypass vulnerabilities,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023/3/14
481,XX vehicle Secret Key Key Hard Code Vulnerability,In-vehicle,IVI,Weak password,Low,2023/3/14
482,XX vehicle vehicle aircraft engineering mode is weak,In-vehicle,IVI,Weak password,Low,2023/3/14
483,XX vehicle system root user exists in empty password vulnerabilities,In-vehicle,ECU,Weak password,Low,2023/3/14
484,SQL injection vulnerabilities exist at the table of the background manager of the XX enterprise car networking platform,Outside-vehicle,Cloud platform,SQL injection,Medium,2023/3/14
485,XX enterprise vehicle Networking Platform Backstage Management drawing details exist in SQL injection vulnerabilities,Outside-vehicle,Cloud platform,SQL injection,Medium,2023/3/14
486,SQL injection vulnerabilities exist at the list of background management activities of the XX enterprise car networking platform,Outside-vehicle,Cloud platform,SQL injection,Medium,2023/3/14
487,SQL injection vulnerabilities exist in the background management data statistics department of the XX enterprise car networking platform,Outside-vehicle,Cloud platform,SQL injection,Medium,2023/3/14
