ID,Vulnerability description,Location,Module,Type,Threat,Time,Attack surfaces,Skills,US EPA size classifications,SAE international level,Car models
185,XX enterprise's website has XSS vulnerabilities,Outside-vehicle,Cloud platform,XSS,Low,2023-12-28,3,Penetration testing,,-,-
186,XX enterprise's website has XSS vulnerabilities,Outside-vehicle,Cloud platform,XSS,Low,2023-12-28,3,Penetration testing,Standard SUV,l3,German
187,XX enterprise unauthorized visit,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-12-28,3,Penetration testing,Compact car,l2,Chinese
188,XX companies have reflected XSS,Outside-vehicle,Cloud platform,XSS,Low,2023-12-28,3,Penetration testing,Small SUV,l2,Chinese
189,XX enterprise PKICAMS any file delete,Outside-vehicle,Cloud platform,File delete,Low,2023-12-28,3,Penetration testing,Small SUV,l2,Chinese
190,XX enterprise PKICAMS Storage XSS,Outside-vehicle,Cloud platform,XSS,Low,2023-12-28,3,Penetration testing,Small SUV,l2,Chinese
191,All staff information leakage of XX enterprises,Outside-vehicle,Cloud platform,Information leakage,Low,2023-12-28,3,Penetration testing,Minivan,l2,Chinese
192,All staff information leakage of XX enterprises,Outside-vehicle,Cloud platform,Information leakage,Low,2023-12-28,3,Penetration testing,Standard SUV,l2,Chinese
193,XX enterprise Platform XSS,Outside-vehicle,Cloud platform,XSS,Low,2023-12-28,3,Penetration testing,,-,-
194,XX enterprise System Administrator weak password,Outside-vehicle,Cloud platform,Weak password,Low,2023-12-28,3,Penetration testing,Standard SUV,l1,Chinese
195,XX enterprise Server_file Directory Traversing,Outside-vehicle,Cloud platform,File accessing,Low,2023-12-28,3,Penetration testing,Minivan,l2,Chinese
196,XX enterprise Reading,Outside-vehicle,Cloud platform,File accessing,Low,2023-12-28,3,Penetration testing,,-,-
197,XX companies exist in SQL injection vulnerabilities,Outside-vehicle,Cloud platform,SQL injection,Medium,2023-12-28,3,Penetration testing,,-,-
198,XX enterprises have any files to read vulnerabilities,Outside-vehicle,Cloud platform,File traversal,Low,2023-12-28,3,Penetration testing,,-,-
199,XX enterprises have any files to read vulnerabilities,Outside-vehicle,Cloud platform,Information leakage,Low,2023-12-28,3,Penetration testing,,-,-
200,XX enterprise's website has XSS vulnerabilities,Outside-vehicle,Cloud platform,XSS,Low,2023-12-28,3,Penetration testing,,-,-
201,XX enterprise's website has XSS vulnerabilities,Outside-vehicle,Cloud platform,XSS,Low,2023-12-28,3,Penetration testing,Mid-Size car,l2,German
202,XX enterprise Platform RCE command execution,Outside-vehicle,Cloud platform,Command injection,High,2023-12-28,3,Penetration testing,Small SUV,l2,Chinese
203,XX corporate platform is unauthorized visit,Outside-vehicle,Cloud platform,Deserialization,Low,2023-12-28,3,Penetration testing,Standard SUV,l2,Chinese
204,The XX corporate platform has RCE vulnerabilities,Outside-vehicle,Cloud platform,Command injection,High,2023-12-28,3,Penetration testing,,-,-
205,XX corporate platform exists in XSS vulnerabilities,Outside-vehicle,Cloud platform,XSS,Low,2023-12-28,3,Penetration testing,,-,-
206,XX enterprises exist in directory traversal vulnerabilities,Outside-vehicle,Cloud platform,File traversal,Low,2023-12-28,3,Penetration testing,,-,-
207,XX companies have logging in bypass vulnerabilities,Outside-vehicle,Cloud platform,Identity spoofing,Low,2023-12-28,3,Penetration testing,,-,-
208,XX companies have sensitive information leakage vulnerabilities,Outside-vehicle,Cloud platform,Information leakage,Medium,2023-12-28,3,Penetration testing,,-,-
209,XX enterprises have any file reading,Outside-vehicle,Cloud platform,File accessing,Low,2023-12-27,3,Penetration testing,Standard SUV,l1,Chinese
210,XX enterprise automotive Motor System Power Retain Vulnerability,In-vehicle,IVI,Privilege escalation,Medium,2023-12-26,1,Reverse engineering,,-,-
211,XX enterprise any account login vulnerability,Outside-vehicle,Cloud platform,Identity spoofing,High,2023-12-26,3,Penetration testing,Standard SUV,l2,Chinese
212,XX enterprise automotive Motor System Power Retain Vulnerability,In-vehicle,IVI,Privilege escalation,Medium,2023-12-26,1,Reverse engineering,,-,-
213,XX enterprise automotive Instrument Back Gate Account,In-vehicle,IVI,Unauthorized accessing,Medium,2023-12-25,1,Reverse engineering,Small SUV,l2,Chinese
214,XX enterprise automobile's arbitrary command execute,In-vehicle,ECU,Command injection,Medium,2023-12-25,1,Penetration testing,Small SUV,l2,Chinese
215,XX enterprise TBOX MQTT Unauthorized visit,In-vehicle,T-Box,Unauthorized accessing,Medium,2023-12-25,1,Traffic analysis,Large car,l2,Chinese
216,XX enterprise automobile OSS Token leaked,Outside-vehicle,Cloud platform,Information leakage,High,2023-12-25,3,Penetration testing,,-,-
217,XX enterprise automobile Existing Information and Entertainment System Unauthorized Sending UDS Protocol Powers Vulnerability,Network,Network,Unauthorized accessing,High,2023-12-22,1,Signal interception,Standard SUV,l2,Chinese
218,XX enterprise automobile Existing vehicle ADAS function refuses to serve the attack vulnerability,In-vehicle,ECU,DoS,Medium,2023-12-22,1,Port scanning,Standard SUV,l2,Chinese
219,XX enterprise automobile Existing Android vehicle Operating System kernel Binder vulnerabilities,In-vehicle,IVI,Kernel,Low,2023-12-22,1,Reverse engineering,Standard SUV,l2,Chinese
220,Details of XX enterprise automotive TLS protocol configuration vulnerabilities details,In-vehicle,IVI,Traffic hijacking,Medium,2023-12-22,1,Traffic analysis,Standard SUV,l2,Chinese
221,XX enterprise automobile has a safe start of private key leakage vulnerabilities,In-vehicle,ECU,Information leakage,Low,2023-12-22,1,Reverse engineering,Standard SUV,l2,Chinese
222,XX enterprise automobile Existing GPS radio interference vulnerabilities,In-vehicle,Radio,GPS spoofing,Low,2023-12-22,1,Signal interception,Standard SUV,l2,Chinese
223,XX enterprise automobile Existing IQIYI vehicle Version Underworld Uploaded vehicle Privacy Data Vulnerability,In-vehicle,IVI,Information leakage,Low,2023-12-22,1,Traffic analysis,Standard SUV,l2,Chinese
224,XX enterprise automobile has the TFTP service vulnerability that is not accessed by ADAS,In-vehicle,ECU,Arbitrary software installation,Medium,2023-12-22,1,Port scanning,Standard SUV,l2,Chinese
225,"XX companies leak more than 10,000 users' privacy",Outside-vehicle,Cloud platform,Information leakage,Medium,2023-12-20,3,Penetration testing,Mid-Size car,l2,German
226,XX enterprise SQL injection,Outside-vehicle,Cloud platform,SQL injection,Low,2023-12-20,3,Penetration testing,,-,-
227,XX enterprise PHPINFO leaked,Outside-vehicle,Cloud platform,Information leakage,Low,2023-12-20,3,Penetration testing,Large car,l2,Chinese
228,XX enterprise vehicle Networking Platform Weakpad Order,Outside-vehicle,Cloud platform,Weak password,Medium,2023-12-20,3,Penetration testing,,-,-
229,XX enterprise AK leak,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-12-20,3,Penetration testing,,-,-
230,XX enterprise AK's second leak,Outside-vehicle,Cloud platform,Unauthorized accessing,Medium,2023-12-20,3,Penetration testing,,-,-
231,XX enterprise AK leak,Outside-vehicle,Cloud platform,Unauthorized accessing,Medium,2023-12-20,3,Penetration testing,,-,-
232,XX enterprise system information leakage vulnerability,Outside-vehicle,Cloud platform,Information leakage,Low,2023-12-18,3,Penetration testing,,-,-
233,XX enterprise OA system information leakage,Outside-vehicle,Cloud platform,Information leakage,Low,2023-12-18,3,Penetration testing,Standard SUV,l1,Chinese
234,XX companies have weak passage login vulnerabilities,Outside-vehicle,Cloud platform,Weak password,Medium,2023-12-15,3,Penetration testing,,-,-
235,XX enterprises exist in SQL injection,Outside-vehicle,Cloud platform,SQL injection,Low,2023-12-15,3,Penetration testing,,-,-
236,XX enterprise Firewall has any file download,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-12-15,3,Penetration testing,,-,-
237,XX enterprises exist in SQL injection,Outside-vehicle,Cloud platform,SQL injection,Low,2023-12-15,3,Penetration testing,,-,-
238,XX enterprise OA system information leakage,Outside-vehicle,Cloud platform,Information leakage,Low,2023-12-15,3,Penetration testing,,-,-
239,XX enterprise Lan Ling OA Information Discovery Vulnerability,Outside-vehicle,Cloud platform,Information leakage,Low,2023-12-15,3,Penetration testing,,-,-
240,XX enterprise Lanling OA system information leakage vulnerability,Outside-vehicle,Cloud platform,Information leakage,Low,2023-12-15,3,Penetration testing,,-,-
241,XX enterprise Lanling OA system information leakage,Outside-vehicle,Cloud platform,Information leakage,Low,2023-12-15,3,Penetration testing,,-,-
242,XX enterprise models exist in application installation and hijacking vulnerabilities,In-vehicle,IVI,DNS hijacking,Medium,2023-12-15,1,Traffic analysis,Compact car,l2,Chinese
243,XX enterprises arbitrarily command to execute vulnerabilities,Outside-vehicle,Cloud platform,Deserialization,Low,2023-12-14,3,Penetration testing,,-,-
244,XX enterprises exist in login and bypass,Outside-vehicle,Cloud platform,Unauthorized accessing,Medium,2023-12-14,3,Penetration testing,,-,-
245,XX enterprise leaks in token to obtain background management,Outside-vehicle,Cloud platform,Unauthorized accessing,Medium,2023-12-14,3,Penetration testing,Small SUV,l2,Chinese
246,XX enterprises exist in SQL injection,Outside-vehicle,Cloud platform,SQL injection,Low,2023-12-14,3,Penetration testing,,-,-
247,XX enterprises exist in Shiro derivativeization,Outside-vehicle,Cloud platform,Deserialization,Medium,2023-12-14,3,Penetration testing,,-,-
248,XX enterprises can call the interface arbitrarily to upload any file,Outside-vehicle,Cloud platform,File upload,Medium,2023-12-14,3,Penetration testing,Small SUV,l2,Chinese
249,XX enterprise OA system information leakage,Outside-vehicle,Cloud platform,Information leakage,Low,2023-12-14,3,Penetration testing,,-,-
250,XX enterprise Lanling OA system information leakage,Outside-vehicle,Cloud platform,Information leakage,Low,2023-12-14,3,Penetration testing,Standard SUV,l2,Chinese
251,XX companies exist in Lan Ling OA information leakage vulnerabilities,Outside-vehicle,Cloud platform,Information leakage,Low,2023-12-14,3,Penetration testing,,-,-
252,XX enterprises exist in CAN communications without authentication vulnerabilities,Network,Network,File upload,Medium,2023-12-14,1,Signal interception,Compact car,l2,Chinese
253,XX companies exist in keyboard incidents that are not authorized to restart the loopholes of the vehicle,In-vehicle,IVI,Unauthorized accessing,Low,2023-12-14,1,Traffic analysis,Compact car,l2,Chinese
254,XX enterprise Lan Ling OA system has information leakage vulnerabilities,Outside-vehicle,Cloud platform,Information leakage,Low,2023-12-14,3,Penetration testing,Compact car,l2,Chinese
255,XX enterprise OA System Lan Ling OA information leakage,Outside-vehicle,Cloud platform,Information leakage,Low,2023-12-13,3,Penetration testing,Minivan,l2,Chinese
256,XX enterprise OA System Lan Ling Information Leaks Vulnerability,Outside-vehicle,Cloud platform,Information leakage,Medium,2023-12-13,3,Penetration testing,Standard SUV,l1,Chinese
257,XX enterprise Lanling OA system has a sensitive information leakage vulnerability,Outside-vehicle,Cloud platform,Information leakage,Low,2023-12-13,3,Penetration testing,Standard SUV,l2,Chinese
258,XX enterprise Lanling OA system has a sensitive information leakage vulnerability,Outside-vehicle,Cloud platform,Information leakage,Low,2023-12-13,3,Penetration testing,,-,-
259,XX enterprise models exist in cloud listening QR code hijacking vulnerabilities,In-vehicle,IVI,Man-in-the-middle,Low,2023-12-11,1,Traffic analysis,Compact car,l2,Chinese
260,XX enterprise model exists in engineering models to enter vulnerabilities,In-vehicle,IVI,Unauthorized accessing,Low,2023-12-11,1,Traffic analysis,Compact car,l2,Chinese
261,XX enterprise models exist in application installation and hijacking vulnerabilities,In-vehicle,IVI,Man-in-the-middle,Low,2023-12-11,1,Traffic analysis,Compact car,l2,Chinese
262,XX enterprise automotive USB_OTA function existence path through loopholes,In-vehicle,IVI,Arbitrary software installation,Low,2023-12-11,1,Traffic analysis,Compact car,l2,Chinese
263,XX enterprise automobile has refusal service attack vulnerabilities,In-vehicle,IVI,DoS,Low,2023-12-11,1,Traffic analysis,Compact car,l2,Chinese
264,XX enterprise automotive CANFD bus has unauthorized access to,Network,Network,Unauthorized accessing,High,2023-12-11,1,Signal interception,Standard SUV,l2,Chinese
265,XX enterprise automobile Application Store Cool Dog Music has a vassal hijacking vulnerability,In-vehicle,IVI,Man-in-the-middle,Low,2023-12-11,1,Traffic analysis,Standard SUV,l2,Chinese
266,XX enterprise automobile exists in BLE relay attack vulnerabilities,In-vehicle,Radio,Relay,Medium,2023-12-11,2,Signal interception,Standard SUV,l2,Chinese
267,XX enterprise automobile Existing GPS radio interference vulnerabilities,In-vehicle,Radio,GPS spoofing,Low,2023-12-22,1,Signal interception,Standard SUV,l2,Chinese
268,XX enterprise automobile has the existence of Alibaba Cloud OSS storage key to leak loopholes,Outside-vehicle,Cloud platform,Unauthorized accessing,Medium,2023-12-11,3,Penetration testing,Standard SUV,l2,Chinese
269,XX enterprise automobile's Artificial Intelligence Unit ROOT users empty passwords,In-vehicle,ECU,Weak password,Medium,2023-12-11,1,Port scanning,Standard SUV,l2,Chinese
270,XX enterprise automobile Application Store Download Hug,In-vehicle,IVI,Man-in-the-middle,Medium,2023-12-11,1,Traffic analysis,Standard SUV,l2,Chinese
271,XX enterprise automobile models exist in the back -driving aircraft Bluetooth reject service vulnerability,In-vehicle,IVI,DoS,Low,2023-12-11,1,Signal interception,Standard SUV,l2,Chinese
272,XX enterprise automobile Bluetooth Key has a refusal service attack,In-vehicle,ECU,DoS,Medium,2023-12-11,1,Signal interception,Standard SUV,l2,Chinese
273,XX enterprise automobile has a key to refuse service vulnerabilities,In-vehicle,Radio,DoS,Medium,2023-11-29,2,Signal interception,Mid-Size car,l2,German
274,XX enterprise car existence engineering model can enter the loopholes,In-vehicle,IVI,Arbitrary software installation,Low,2023-11-29,1,Port scanning,Compact car,l2,Chinese
275,XX enterprise automobile Existing Cloud Listening QR code Hide Vulnerability,In-vehicle,IVI,Man-in-the-middle,Low,2023-11-29,1,Traffic analysis,Compact car,l2,Chinese
276,XX enterprise automobile Existing Information and Entertainment System has not authorized to send UDS protocol packets,Network,Network,Unauthorized accessing,High,2023-11-29,1,Signal interception,Standard SUV,l2,Chinese
277,XX enterprise automobile Existing vehicle ADAS function refuses to serve the attack vulnerability,In-vehicle,ECU,DoS,Medium,2023-11-29,1,Port scanning,Standard SUV,l2,Chinese
278,XX enterprise automobile Existing Android vehicle Operating System kernel Binder vulnerabilities,In-vehicle,IVI,Kernel,Low,2023-11-29,1,Reverse engineering,Standard SUV,l2,Chinese
279,XX enterprise automobile has an unsafe TLS protocol configuration vulnerability,In-vehicle,IVI,Man-in-the-middle,Medium,2023-11-29,1,Traffic analysis,Standard SUV,l2,Chinese
280,XX enterprise automobile has a safe start of private key leakage vulnerabilities,In-vehicle,ECU,Information leakage,Low,2023-11-29,1,Reverse engineering,Standard SUV,l2,Chinese
281,XX enterprise automobile Existing GPS radio interference vulnerabilities,In-vehicle,Radio,GPS spoofing,Low,2023-11-29,1,Signal interception,Standard SUV,l2,Chinese
282,XX enterprise automobile Existing IQIYI vehicle Version Underworld Uploaded vehicle Privacy Data Vulnerability,In-vehicle,IVI,Information leakage,Low,2023-11-29,1,Traffic analysis,Standard SUV,l2,Chinese
283,XX enterprise automobile has the TFTP service vulnerability that is not accessed by ADAS,In-vehicle,ECU,Arbitrary software installation,Medium,2023-11-22,1,Port scanning,Standard SUV,l2,Chinese
284,"The WiFi of the XX enterprise IVI has no specific model of products, there is a refusal service vulnerability",In-vehicle,IVI,DoS,Low,2023-10-31,1,Penetration testing,,-,-
285,The product of XX enterprise IVIDNSMASQ has SQL injection vulnerabilities,In-vehicle,IVI,SQL injection,Medium,2023-10-31,1,Penetration testing,,-,-
286,XX enterprise automobile CVE-20123-4863 Packing cache overflow vulnerability,In-vehicle,IVI,Buffer overflow,Low,2023-10-31,1,Penetration testing,,-,-
287,XX enterprise automobile vehicle File Read it arbitrarily,In-vehicle,IVI,Unauthorized accessing,High,2023-10-31,1,Penetration testing,,-,-
288,The XX enterprise Security Management Platform has sensitive information leakage vulnerabilities,Outside-vehicle,Cloud platform,Information leakage,Low,2023-10-30,3,Penetration testing,Standard SUV,l2,Chinese
289,XX enterprise Login Authentication bypassed the vulnerability,Outside-vehicle,Cloud platform,Unauthorized accessing,Medium,2023-10-30,3,Penetration testing,,-,-
290,XX enterprise Cloud Platform System MobileAction,Outside-vehicle,Cloud platform,Unauthorized accessing,Medium,2023-10-26,3,Penetration testing,,-,-
291,XX enterprise car engineering model exposure,In-vehicle,IVI,Arbitrary software installation,Medium,2023-10-26,1,Penetration testing,Standard SUV,l2,Chinese
292,XX enterprise car information acquisition interface more power loopholes,Outside-vehicle,APP,Command injection,Medium,2023-10-26,3,Penetration testing,Standard SUV,l2,Chinese
293,XX enterprise automobile Existing IIS_PUT file Upload vulnerabilities,Outside-vehicle,Cloud platform,File upload,Medium,2023-10-25,3,Penetration testing,Standard SUV,l2,Chinese
294,XX enterprise automobile code lacks user access and interception,Outside-vehicle,Cloud platform,Unauthorized accessing,High,2023-10-17,3,Penetration testing,,-,-
295,XX enterprise automobile IVI has insufficient debug permissions and causes the back door vulnerabilities,In-vehicle,IVI,Unauthorized accessing,Medium,2023-10-17,1,Penetration testing,Small SUV,l2,Chinese
296,XX enterprise automobile_ivi_U disk installs third -party software vulnerabilities,In-vehicle,IVI,Arbitrary software installation,Medium,2023-9-22,1,Penetration testing,Standard SUV,l2,Chinese
297,XX enterprise automobile_IVI_Pone Ritting Vulnerability,In-vehicle,IVI,Unauthorized accessing,Medium,2023-9-22,1,Penetration testing,Standard SUV,l2,Chinese
298,XX enterprise automobile,Outside-vehicle,APP,Command injection,Medium,2023-9-22,3,Penetration testing,Standard SUV,l2,Chinese
299,XX enterprise automobile_Tbox_tbox Cover Shell Live Vulnerability,In-vehicle,T-Box,Unauthorized accessing,Medium,2023-9-22,1,Reverse engineering,Standard SUV,l2,Chinese
300,XX enterprise automobile_MQTT hard coding vulnerability,Outside-vehicle,APP,Information leakage,High,2023-9-22,3,Reverse engineering,Standard SUV,l2,Chinese
301,"XX enterprise automobile_VI_ After the factory settings are restored, WIFI defaults to open ADB vulnerabilities",In-vehicle,IVI,Unauthorized accessing,Low,2023-9-22,1,Penetration testing,Standard SUV,l2,Chinese
302,XX enterprise automobile_ Radio_Ti -Wireless Rolling Code Synchronous Vulnerability,In-vehicle,IVI,Unauthorized accessing,Medium,2023-9-22,1,Signal interception,Standard SUV,l2,Chinese
303,XX enterprise automobile_ivi_The Application of WEBVIEW Any File Reading Vulnerability,In-vehicle,IVI,Unauthorized accessing,Low,2023-9-22,1,Penetration testing,Standard SUV,l2,Chinese
304,XX enterprise automobile_App_The user login,Outside-vehicle,APP,Command injection,Medium,2023-9-22,3,Penetration testing,Standard SUV,l2,Chinese
305,XX enterprise automobile_Tbox_ADB default any file Upload download vulnerability,In-vehicle,IVI,Unauthorized accessing,Medium,2023-9-22,1,Penetration testing,Standard SUV,l2,Chinese
306,XX enterprise automobile OA System is not authorized SQL injection vulnerability,Outside-vehicle,Cloud platform,SQL injection,Low,2023-9-15,3,Penetration testing,,-,-
307,XX enterprise automobile Unauthorized SQL Inject Vulnerability,Outside-vehicle,Cloud platform,SQL injection,Medium,2023-9-15,3,Penetration testing,,-,-
308,XX enterprise automobile OA System is not authorized SQL injection vulnerability,Outside-vehicle,Cloud platform,SQL injection,Low,2023-9-15,3,Penetration testing,,-,-
309,XX enterprise T-BOX products have permissions permits and access control,In-vehicle,T-Box,Unauthorized accessing,Critical,2023-9-13,1,Penetration testing,,-,-
310,XX enterprise Reading Vulnerability Reading,Outside-vehicle,Cloud platform,File accessing,Low,2023-9-12,3,Penetration testing,,-,-
311,XX enterprise Reading Vulnerability Reading,Outside-vehicle,Cloud platform,File accessing,Low,2023-9-12,3,Penetration testing,,-,-
312,XX enterprise Reading Vulnerability Reading,Outside-vehicle,Cloud platform,File accessing,Low,2023-9-12,3,Penetration testing,,-,-
313,XX enterprise OA any file download,Outside-vehicle,Cloud platform,File download,Low,2023-9-12,3,Penetration testing,,-,-
314,XX enterprise OA any file download,Outside-vehicle,Cloud platform,File download,Low,2023-9-12,3,Penetration testing,,-,-
315,XX enterprise Reading Vulnerability Reading,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-9-11,3,Penetration testing,,-,-
316,XX enterprise OA system does not authorize commands to execute,Outside-vehicle,Cloud platform,Command injection,Medium,2023-9-6,3,Penetration testing,,-,-
317,XX enterprise OA system does not authorize commands to execute,Outside-vehicle,Cloud platform,Command injection,Low,2023-9-6,3,Penetration testing,,-,-
318,XX enterprise OA system does not authorize commands to execute,Outside-vehicle,Cloud platform,Command injection,Low,2023-9-6,3,Penetration testing,,-,-
319,XX enterprise car crash vulnerability,In-vehicle,IVI,Buffer overflow,Low,2023-8-29,1,Penetration testing,Mid-Size car,l2,German
320,XX enterprise CRM system SQL injection vulnerability,Outside-vehicle,Cloud platform,SQL injection,Low,2023-8-28,3,Penetration testing,,-,-
321,XX enterprise CRM system SQL injection vulnerability,Outside-vehicle,Cloud platform,SQL injection,Low,2023-8-28,3,Penetration testing,,-,-
322,XX enterprise Reading Vulnerability Reading,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-8-28,3,Penetration testing,,-,-
323,XX enterprise OA any file download,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-8-25,3,Penetration testing,Small SUV,l2,Japanese
324,XX enterprise OA any file download,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-8-25,3,Penetration testing,,-,-
325,XX enterprise APP exists in user information leakage vulnerabilities,Outside-vehicle,APP,Information leakage,High,2023-8-25,3,Traffic analysis,Mid-Size car,l2,German
326,XX enterprise File Management System does not authorize commands to execute,Outside-vehicle,Cloud platform,Command injection,Medium,2023-8-23,3,Penetration testing,,-,-
327,XX enterprise Platform logical vulnerability,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-8-22,3,Penetration testing,Standard SUV,l2,French
328,XX enterprise automotive Safety Access and Using Non -Safety Algorithm,In-vehicle,ECU,Information leakage,Low,2023-8-14,1,Reverse engineering,,-,-
329,XX enterprise automotive Bluetooth Key Power Power with Fuzzing,In-vehicle,ECU,DoS,Low,2023-8-14,1,Signal interception,,-,-
330,XX enterprise automotive Bluetooth Agreement Dowager Metal Bluetooth Key Realization Car Control,In-vehicle,ECU,Relay,Low,2023-8-14,1,Signal interception,,-,-
331,XX enterprise automobile SRM System login bypass,In-vehicle,ECU,Command injection,Low,2023-8-11,1,Penetration testing,,-,-
332,XX enterprise automotive Supplier Relations Management Platform has not been authorized to visit,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-8-11,3,Penetration testing,,-,-
333,XX enterprise automobile Fastjson Capital Vulnerability,Outside-vehicle,Cloud platform,Deserialization,Low,2023-8-11,3,Penetration testing,Mid-Size car,l2,German
334,XX enterprise automobile Cloud Platform login bypassing,Outside-vehicle,Cloud platform,Command injection,Low,2023-8-11,3,Penetration testing,,-,-
335,XX corporate car platform login and bypass,Outside-vehicle,Cloud platform,Command injection,Medium,2023-8-11,3,Penetration testing,,-,-
336,XX enterprise automobile SRM System login bypass,Outside-vehicle,Cloud platform,Command injection,Low,2023-8-11,3,Penetration testing,,-,-
337,XX enterprise automobile System Login By bypass,Outside-vehicle,Cloud platform,Command injection,Medium,2023-8-11,3,Penetration testing,,-,-
338,XX enterprise automotive Bluetooth has known CVE vulnerabilities,In-vehicle,ECU,Arbitrary software installation,Low,2023-8-10,1,Penetration testing,,-,-
339,XX enterprise automotive Bus Available CAN signal,Network,Network,replay,Low,2023-8-8,1,Signal interception,,-,-
340,XX enterprise automobile WiFi can be DDOS,Network,Network,DoS,Low,2023-8-8,1,Signal interception,,-,-
341,XX enterprise automobile Remote Control instructions can be replaced and tampered with,Outside-vehicle,APP,replay,High,2023-8-8,3,Penetration testing,,-,-
342,XX enterprise automobile Control instructions Uncayed transmission,Outside-vehicle,APP,Information leakage,Low,2023-8-8,3,Traffic analysis,,-,-
343,XX enterprise automobile Web website unauthorized access,Outside-vehicle,Cloud platform,Command injection,Medium,2023-8-1,3,Penetration testing,,-,-
344,XX enterprise automobile Web website unauthorized access,Outside-vehicle,APP,Command injection,Low,2023-8-1,3,Penetration testing,Mid-Size car,l2,German
345,There are vulnerabilities in the built -in navigation of the XX enterprise automobile intelligent guide interconnection system,Network,Network,Weak password,Low,2023-7-27,1,Signal interception,Small SUV,l2,Japanese
346,XX enterprise automobile has Druid default weak passage vulnerabilities,Outside-vehicle,Cloud platform,Weak password,Low,2023-7-25,3,Penetration testing,Small SUV,l2,Japanese
347,XX enterprise Auto NACOS,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-7-14,3,Penetration testing,,-,-
348,XX enterprise automobile NACOS does not authorize to add users to leak a lot of sensitive information,Outside-vehicle,Cloud platform,Information leakage,Low,2023-7-14,3,Penetration testing,,-,-
349,The XX enterprise platform exists in information leakage vulnerabilities,Outside-vehicle,Cloud platform,Information leakage,Medium,2023-7-14,3,Penetration testing,,-,-
350,XX enterprise automobile TBOX can be adb pull to get any file,In-vehicle,T-Box,Unauthorized accessing,Low,2023-7-14,1,Penetration testing,Standard SUV,l2,Chinese
351,XX enterprise automobile IVI defaults to open WIFI ADB and is root permissions,In-vehicle,IVI,Unauthorized accessing,Medium,2023-7-14,1,Penetration testing,Standard SUV,l2,Chinese
352,XX enterprise automobile any user login,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-7-14,3,Penetration testing,,-,-
353,XX enterprise automobile any user login,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-7-14,3,Penetration testing,,-,-
354,XX enterprise automobile any file download,Outside-vehicle,Cloud platform,File download,Low,2023-7-14,3,Penetration testing,Mid-Size car,l2,Japanese
355,XX enterprise automobile IVI exists in the loopholes of weak passwords in engineering models,In-vehicle,IVI,Weak password,High,2023-7-4,1,Port scanning,Standard SUV,l2,Chinese
356,XX enterprise automotive IVI has a loophole in ADB password hard -coded,In-vehicle,IVI,Information leakage,High,2023-7-4,1,Penetration testing,Standard SUV,l2,Chinese
357,There are vulnerabilities CVE -2021-0653,In-vehicle,IVI,Arbitrary software installation,Medium,2023-7-4,1,Penetration testing,Mid-Size car,l2,German
358,XX companies have weak passwords,Outside-vehicle,Cloud platform,Weak password,Low,2023-6-30,3,Penetration testing,,-,-
359,XX enterprise automobile has SQL injection vulnerabilities,Outside-vehicle,Cloud platform,SQL injection,Low,2023-6-30,3,Penetration testing,,-,-
360,XX enterprise automobile has pan -micro XXE vulnerabilities,Outside-vehicle,Cloud platform,XEE,Low,2023-6-30,3,Penetration testing,Compact car,l2,Chinese
361,XX enterprise automobile has a long -range control vehicle vulnerability,In-vehicle,IVI,Unauthorized accessing,Low,2023-6-30,3,Penetration testing,Compact car,l2,Chinese
362,XX enterprise automobile Existing NFC Reez -Control Cars,In-vehicle,ECU,Relay,Medium,2023-6-30,1,Signal interception,Large car,l2,Chinese
363,XX enterprise automobile File Upload Vulnerability,Outside-vehicle,Cloud platform,File upload,Medium,2023-6-28,3,Penetration testing,,-,-
364,XX enterprise Auto SQL Inject Vulnerability,Outside-vehicle,Cloud platform,SQL injection,High,2023-6-28,3,Penetration testing,,-,-
365,XX enterprise automobile Energy IoT Cloud Platform,Outside-vehicle,Cloud platform,Command injection,Low,2023-6-28,3,Penetration testing,Standard SUV,l2,Chinese
366,XX enterprise automobile has a login and bypass vulnerability,Outside-vehicle,Cloud platform,Unauthorized accessing,Low,2023-6-28,3,Penetration testing,,-,-
367,XX enterprise automobile has a login and bypass-JS hard coding,Outside-vehicle,Cloud platform,Information leakage,Medium,2023-6-28,3,Penetration testing,,-,-
368,XX enterprise automobile has FTP weak passwords,Outside-vehicle,Cloud platform,Weak password,Low,2023-6-28,3,Port scanning,,-,-
369,XX enterprise automobile Existing Telnet hard coding,Outside-vehicle,Cloud platform,Information leakage,Medium,2023-6-28,3,Port scanning,,-,-
370,XX enterprise automobile Existence SSH login vouchers hard coding,Outside-vehicle,Cloud platform,Information leakage,Medium,2023-6-28,3,Port scanning,,-,-
